"B6" "Balance of payments BPM6"
"LOCOSINO" "Leading Indicators OECD > Component series > Interest rate spread > Normalised"
"LOCOSIOR" "Leading Indicators OECD > Component series > Interest rate spread > Original series"
"LOCOSK" "Leading Indicators OECD > Component series > Stocks"
"LOCOSKNO" "Leading Indicators OECD > Component series > Stocks > Normalised"
"LOCOSKOR" "Leading Indicators OECD > Component series > Stocks > Original series"
"LOCOSL" "Leading Indicators OECD > Component series > Sales"
"LOCOSLNO" "Leading Indicators OECD > Component series > Sales > Normalised"
"LOCOSLOR" "Leading Indicators OECD > Component series > Sales > Original series"
"LOCOSP" "Leading Indicators OECD > Component series > Share prices"
"LOCOSPNO" "Leading Indicators OECD > Component series > Share prices > Normalised"
"LOCOSPOR" "Leading Indicators OECD > Component series > Share prices > Original series"
"LOCOST" "Leading Indicators OECD > Component series > Short-term interest rate"
"LOCOSTNO" "Leading Indicators OECD > Component series > Short-term interest rate > Normalised"
"LOCOSTOR" "Leading Indicators OECD > Component series > Short-term interest rate > Original series"
"LOCOTA" "Leading Indicators OECD > Component series > Tourism activity"
"LOCOTANO" "Leading Indicators OECD > Component series > Tourism activity > Normalised"
"LOCOTAOR" "Leading Indicators OECD > Component series > Tourism activity > Original series"
"LOCOTM" "Leading Indicators OECD > Component series > Imports"
"LOCOTMNO" "Leading Indicators OECD > Component series > Imports > Normalised"
"LOCOTMOR" "Leading Indicators OECD > Component series > Imports > Original series"
"LOCOTT" "Leading Indicators OECD > Component series > Terms of trade"
"LOCOTTNO" "Leading Indicators OECD > Component series > Terms of trade > Normalised"
"LOCOTTOR" "Leading Indicators OECD > Component series > Terms of trade > Original series"
"LOCOTX" "Leading Indicators OECD > Component series > Exports"
"LOCOTXNO" "Leading Indicators OECD > Component series > Exports > Normalised"
"LOCOTXOR" "Leading Indicators OECD > Component series > Exports > Original series"
"LOCOVR" "Leading Indicators OECD > Component series > Car registration - sales"
"LOCOVRNO" "Leading Indicators OECD > Component series > Car registration - sales > Normalised"
"LOCOVROR" "Leading Indicators OECD > Component series > Car registration - sales > Original series"
"LOCOXG" "Leading Indicators OECD > Component series > Exports of goods"
"LOCOXGNO" "Leading Indicators OECD > Component series > Exports of goods > Normalised"
"LOCOXGOR" "Leading Indicators OECD > Component series > Exports of goods > Original series"
"LOLI" "Leading Indicators OECD > Leading indicators"
"LOLITO" "Leading Indicators OECD > Leading indicators > CLI"
"LOLITOAA" "Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted"
"LOLITONO" "Leading Indicators OECD > Leading indicators > CLI > Normalised"
"LOLITOTR" "Leading Indicators OECD > Leading indicators > CLI > Trend restored"
"LORS" "Leading Indicators OECD > Reference series"
"LORSGP" "Leading Indicators OECD > Reference series > Gross Domestic Product (GDP)"
"LORSGPNO" "Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised"
"LORSGPOR" "Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series"
"LORSGPRT" "Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Ratio to trend"
"LORSGPTD" "Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Trend"
"LR" "Labour Force Survey - quarterly rates"
"LRAC" "Labour Force Survey - quarterly rates > Activity rate"
"LRAC24" "Labour Force Survey - quarterly rates > Activity rate > Aged 15-24"
"LRAC24FE" "Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > Females"
"LRAC24MA" "Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > Males"
"LRAC24TT" "Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > All persons"
"LRAC25" "Labour Force Survey - quarterly rates > Activity rate > Aged 25-54"
"LRAC25FE" "Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > Females"
"LRAC25MA" "Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > Males"
"LRAC25TT" "Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > All persons"
"LRAC55" "Labour Force Survey - quarterly rates > Activity rate > Aged 55-64"
"LRAC55FE" "Labour Force Survey - quarterly rates > Activity rate > Aged 55-64 > Females"
"LRAC55MA" "Labour Force Survey - quarterly rates > Activity rate > Aged 55-64 > Males"
"LRAC55TT" "Labour Force Survey - quarterly rates > Activity rate > Aged 55-64 > All persons"
"LRAC64" "Labour Force Survey - quarterly rates > Activity rate > Aged 15-64"
"LRAC64FE" "Labour Force Survey - quarterly rates > Activity rate > Aged 15-64 > Females"
"LRAC64MA" "Labour Force Survey - quarterly rates > Activity rate > Aged 15-64 > Males"
"LRAC64TT" "Labour Force Survey - quarterly rates > Activity rate > Aged 15-64 > All persons"
"LRAC74" "Labour Force Survey - quarterly rates > Activity rate > Aged 15-74"
"LRAC74FE" "Labour Force Survey - quarterly rates > Activity rate > Aged 15-74 > Females"
"LRAC74MA" "Labour Force Survey - quarterly rates > Activity rate > Aged 15-74 > Males"
"LRAC74TT" "Labour Force Survey - quarterly rates > Activity rate > Aged 15-74 > All persons"
"LRACTT" "Labour Force Survey - quarterly rates > Activity rate > Aged 15 and over"
"LRACTTFE" "Labour Force Survey - quarterly rates > Activity rate > Aged 15 and over > Females"
"LRACTTMA" "Labour Force Survey - quarterly rates > Activity rate > Aged 15 and over > Males"
"LRACTTTT" "Labour Force Survey - quarterly rates > Activity rate > Aged 15 and over > All persons"
"LREM" "Labour Force Survey - quarterly rates > Employment rate"
"LREM24" "Labour Force Survey - quarterly rates > Employment rate > Aged 15-24"
"LREM24FE" "Labour Force Survey - quarterly rates > Employment rate > Aged 15-24 > Females"
"LREM24MA" "Labour Force Survey - quarterly rates > Employment rate > Aged 15-24 > Males"
"LREM24TT" "Labour Force Survey - quarterly rates > Employment rate > Aged 15-24 > All persons"
"LREM25" "Labour Force Survey - quarterly rates > Employment rate > Aged 25-54"
"LREM25FE" "Labour Force Survey - quarterly rates > Employment rate > Aged 25-54 > Females"
"LREM25MA" "Labour Force Survey - quarterly rates > Employment rate > Aged 25-54 > Males"
"LREM25TT" "Labour Force Survey - quarterly rates > Employment rate > Aged 25-54 > All persons"
"LREM55" "Labour Force Survey - quarterly rates > Employment rate > Aged 55-64"
"LREM55FE" "Labour Force Survey - quarterly rates > Employment rate > Aged 55-64 > Females"
"LREM55MA" "Labour Force Survey - quarterly rates > Employment rate > Aged 55-64 > Males"
"LREM55TT" "Labour Force Survey - quarterly rates > Employment rate > Aged 55-64 > All persons"
"LREM64" "Labour Force Survey - quarterly rates > Employment rate > Aged 15-64"
"LREM64FE" "Labour Force Survey - quarterly rates > Employment rate > Aged 15-64 > Females"
"LREM64MA" "Labour Force Survey - quarterly rates > Employment rate > Aged 15-64 > Males"
"LREM64TT" "Labour Force Survey - quarterly rates > Employment rate > Aged 15-64 > All persons"
"LREM74" "Labour Force Survey - quarterly rates > Employment rate > Aged 15-74"
"LREM74FE" "Labour Force Survey - quarterly rates > Employment rate > Aged 15-74 > Females"
"LREM74MA" "Labour Force Survey - quarterly rates > Employment rate > Aged 15-74 > Males"
"LREM74TT" "Labour Force Survey - quarterly rates > Employment rate > Aged 15-74 > All persons"
"LREMTT" "Labour Force Survey - quarterly rates > Employment rate > Aged 15 and over"
"LREMTTFE" "Labour Force Survey - quarterly rates > Employment rate > Aged 15 and over > Females"
"LREMTTMA" "Labour Force Survey - quarterly rates > Employment rate > Aged 15 and over > Males"
"LREMTTTT" "Labour Force Survey - quarterly rates > Employment rate > Aged 15 and over > All persons"
"LREP" "Labour Force Survey - quarterly rates > Employment to population rate"
"LREPTT" "Labour Force Survey - quarterly rates > Employment to population rate > All ages"
"LREPTTFE" "Labour Force Survey - quarterly rates > Employment to population rate > All ages > Females"
"LREPTTMA" "Labour Force Survey - quarterly rates > Employment to population rate > All ages > Males"
"LREPTTTT" "Labour Force Survey - quarterly rates > Employment to population rate > All ages > All persons"
"LRHU" "Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates"
"LRHU24" "Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24"
"LRHU24FE" "Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > Females"
"LRHU24MA" "Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > Males"
"LRHU24TT" "Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > All persons"
"LRHUAD" "Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over"
"LRHUADFE" "Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > Females"
"LRHUADMA" "Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > Males"
"LRHUADTT" "Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > All persons"
"LRHUTT" "Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total"
"LRHUTTFE" "Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total > Females"
"LRHUTTMA" "Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total > Males"
"LRHUTTTT" "Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total > All persons"
"LRIN" "Labour Force Survey - quarterly rates > Inactivity rate"
"LRIN24" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24"
"LRIN24FE" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > Females"
"LRIN24MA" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > Males"
"LRIN24TT" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > All persons"
"LRIN25" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54"
"LRIN25FE" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > Females"
"LRIN25MA" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > Males"
"LRIN25TT" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > All persons"
"LRIN55" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64"
"LRIN55FE" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > Females"
"LRIN55MA" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > Males"
"LRIN55TT" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > All persons"
"LRIN64" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64"
"LRIN64FE" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64 > Females"
"LRIN64MA" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64 > Males"
"LRIN64TT" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64 > All persons"
"LRIN74" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-74"
"LRIN74FE" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-74 > Females"
"LRIN74MA" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-74 > Males"
"LRIN74TT" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-74 > All persons"
"LRINTT" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15 and over"
"LRINTTFE" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15 and over > Females"
"LRINTTMA" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15 and over > Males"
"LRINTTTT" "Labour Force Survey - quarterly rates > Inactivity rate > Aged 15 and over > All persons"
"LRUN" "Labour Force Survey - quarterly rates > Unemployment rate"
"LRUN24" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-24"
"LRUN24FE" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-24 > Females"
"LRUN24MA" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-24 > Males"
"LRUN24TT" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-24 > All persons"
"LRUN25" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 25-54"
"LRUN25FE" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 25-54 > Females"
"LRUN25MA" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 25-54 > Males"
"LRUN25TT" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 25-54 > All persons"
"LRUN55" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 55-64"
"LRUN55FE" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 55-64 > Females"
"LRUN55MA" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 55-64 > Males"
"LRUN55TT" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 55-64 > All persons"
"LRUN64" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-64"
"LRUN64FE" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-64 > Females"
"LRUN64MA" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-64 > Males"
"LRUN64TT" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-64 > All persons"
"LRUN74" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-74"
"LRUN74FE" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-74 > Females"
"LRUN74MA" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-74 > Males"
"LRUN74TT" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-74 > All persons"
"LRUNTT" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over"
"LRUNTTFE" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > Females"
"LRUNTTMA" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > Males"
"LRUNTTTT" "Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons"
"LRUP" "Labour Force Survey - quarterly rates > Unemployment to population rate"
"LRUPTT" "Labour Force Survey - quarterly rates > Unemployment to population rate > All ages"
"LRUPTTFE" "Labour Force Survey - quarterly rates > Unemployment to population rate > All ages > Females"
"LRUPTTMA" "Labour Force Survey - quarterly rates > Unemployment to population rate > All ages > Males"
"LRUPTTTT" "Labour Force Survey - quarterly rates > Unemployment to population rate > All ages > All persons"
"MA" "Monetary aggregates and their components"
"MABM" "Monetary aggregates and their components > Broad money and components"
"MABMM3" "Monetary aggregates and their components > Broad money and components > M3"
"MABMM301" "Monetary aggregates and their components > Broad money and components > M3 > M3"
"MANM" "Monetary aggregates and their components > Narrow money and components"
"MANMM1" "Monetary aggregates and their components > Narrow money and components > M1 and components"
"MANMM101" "Monetary aggregates and their components > Narrow money and components > M1 and components > M1"
"NA" "National Accounts"
"NAEX" "National Accounts > GDP by Expenditure"
"NAEXCP" "National Accounts > GDP by Expenditure > Current Prices"
"NAEXCP01" "National Accounts > GDP by Expenditure > Current Prices > Gross Domestic Product - Total"
"NAEXCP02" "National Accounts > GDP by Expenditure > Current Prices > Private Final Consumption Expenditure"
"NAEXCP03" "National Accounts > GDP by Expenditure > Current Prices > Government Final Consumption Expenditure"
"NAEXCP04" "National Accounts > GDP by Expenditure > Current Prices > Gross Fixed Capital Formation"
"NAEXCP05" "National Accounts > GDP by Expenditure > Current Prices > Changes in inventories and net acquisition of valuables"
"NAEXCP06" "National Accounts > GDP by Expenditure > Current Prices > Exports of Goods and Services"
"NAEXCP07" "National Accounts > GDP by Expenditure > Current Prices > less: Imports of Goods and Services"
"NAEXKP" "National Accounts > GDP by Expenditure > Constant Prices"
"NAEXKP01" "National Accounts > GDP by Expenditure > Constant Prices > Gross Domestic Product - Total"
"NAEXKP02" "National Accounts > GDP by Expenditure > Constant Prices > Private Final Consumption Expenditure"
"NAEXKP03" "National Accounts > GDP by Expenditure > Constant Prices > Government Final Consumption Expenditure"
"NAEXKP04" "National Accounts > GDP by Expenditure > Constant Prices > Gross Fixed Capital Formation"
"NAEXKP05" "National Accounts > GDP by Expenditure > Constant Prices > Changes in inventories and net acquisition of valuables"
"NAEXKP06" "National Accounts > GDP by Expenditure > Constant Prices > Exports of Goods and Services"
"NAEXKP07" "National Accounts > GDP by Expenditure > Constant Prices > Less: Imports of Goods and Services"
"NAGI" "National Accounts > National Accounts Deflators"
"NAGICE" "National Accounts > National Accounts Deflators > Private Consumption Expenditure Deflator"
"NAGICE01" "National Accounts > National Accounts Deflators > Private Consumption Expenditure Deflator > Implicit Price Deflator Total"
"NAGIGP" "National Accounts > National Accounts Deflators > Gross Domestic Product"
"NAGIGP01" "National Accounts > National Accounts Deflators > Gross Domestic Product > GDP Deflator"
"OD" "Orders"
"ODCN" "Orders > Construction"
"ODCNPI" "Orders > Construction > Permits issued"
"ODCNPI03" "Orders > Construction > Permits issued > Dwellings / Residential buildings"
"ODMN" "Orders > Manufacturing"
"ODMNTO" "Orders > Manufacturing > Total orders"
"ODMNTO01" "Orders > Manufacturing > Total orders > Volume"
"ODMNTO02" "Orders > Manufacturing > Total orders > Value"
"OP" "Other prices"
"OPCN" "Other prices > Cost of Construction"
"OPCNRE" "Other prices > Cost of Construction > Residential"
"OPCNRE01" "Other prices > Cost of Construction > Residential > Total"
"OPCNSH" "Other prices > Cost of Construction > Social housing"
"OPCNSH01" "Other prices > Cost of Construction > Social housing > Total"
"OPCNTB" "Other prices > Cost of Construction > Total buildings"
"OPCNTB01" "Other prices > Cost of Construction > Total buildings > Total"
"OPCNTT" "Other prices > Cost of Construction > Total construction"
"OPCNTT01" "Other prices > Cost of Construction > Total construction > Total"
"PI" "Producer Prices Index"
"PIEA" "Producer Prices Index > Economic activities"
"PIEAEN" "Producer Prices Index > Economic activities > Energy"
"PIEAEN01" "Producer Prices Index > Economic activities > Energy > Total"
"PIEAEN02" "Producer Prices Index > Economic activities > Energy > Domestic"
"PIEAFD" "Producer Prices Index > Economic activities > Manufacture of food products"
"PIEAFD01" "Producer Prices Index > Economic activities > Manufacture of food products > Total"
"PIEAFD02" "Producer Prices Index > Economic activities > Manufacture of food products > Domestic"
"PIEAMI" "Producer Prices Index > Economic activities > Mining and quarrying activities"
"PIEAMI01" "Producer Prices Index > Economic activities > Mining and quarrying activities > Total"
"PIEAMI02" "Producer Prices Index > Economic activities > Mining and quarrying activities > Domestic"
"PIEAMP" "Producer Prices Index > Economic activities > Manufacturing"
"PIEAMP01" "Producer Prices Index > Economic activities > Manufacturing > Total"
"PIEAMP02" "Producer Prices Index > Economic activities > Manufacturing > Domestic"
"PIEATI" "Producer Prices Index > Economic activities > Industrial activities"
"PIEATI01" "Producer Prices Index > Economic activities > Industrial activities > Total"
"PIEATI02" "Producer Prices Index > Economic activities > Industrial activities > Domestic"
"PISP" "Producer Prices Index > Stage of processing"
"PISPFG" "Producer Prices Index > Stage of processing > Finished goods"
"PISPFG01" "Producer Prices Index > Stage of processing > Finished goods > Total"
"PISPFG02" "Producer Prices Index > Stage of processing > Finished goods > Domestic"
"PISPIG" "Producer Prices Index > Stage of processing > Intermediate goods"
"PISPIG01" "Producer Prices Index > Stage of processing > Intermediate goods > Total"
"PISPIG02" "Producer Prices Index > Stage of processing > Intermediate goods > Domestic"
"PISPPR" "Producer Prices Index > Stage of processing > Primary products"
"PISPPR01" "Producer Prices Index > Stage of processing > Primary products > Total"
"PISPPR02" "Producer Prices Index > Stage of processing > Primary products > Domestic"
"PITG" "Producer Prices Index > Type of goods"
"PITGCD" "Producer Prices Index > Type of goods > Durable consumer goods"
"PITGCD01" "Producer Prices Index > Type of goods > Durable consumer goods > Total"
"PITGCD02" "Producer Prices Index > Type of goods > Durable consumer goods > Domestic"
"PITGCG" "Producer Prices Index > Type of goods > Consumer goods"
"PITGCG01" "Producer Prices Index > Type of goods > Consumer goods > Total"
"PITGCG02" "Producer Prices Index > Type of goods > Consumer goods > Domestic"
"PITGIG" "Producer Prices Index > Type of goods > Intermediate goods"
"PITGIG01" "Producer Prices Index > Type of goods > Intermediate goods > Total"
"PITGIG02" "Producer Prices Index > Type of goods > Intermediate goods > Domestic"
"PITGND" "Producer Prices Index > Type of goods > Non durable consumer goods"
"PITGND01" "Producer Prices Index > Type of goods > Non durable consumer goods > Total"
"PITGND02" "Producer Prices Index > Type of goods > Non durable consumer goods > Domestic"
"PITGVG" "Producer Prices Index > Type of goods > Investments goods"
"PITGVG01" "Producer Prices Index > Type of goods > Investments goods > Total"
"PITGVG02" "Producer Prices Index > Type of goods > Investments goods > Domestic"
"PR" "Production"
"PRCN" "Production > Construction"
"PRCNBD" "Production > Construction > Buildings"
"PRCNBD01" "Production > Construction > Buildings > Total"
"PRCNTO" "Production > Construction > Total construction"
"PRCNTO01" "Production > Construction > Total construction > Total"
"PREN" "Production > Energy"
"PREND4" "Production > Energy > Production and distribution of electricity, gas, steam and air conditioning"
"PREND401" "Production > Energy > Production and distribution of electricity, gas, steam and air conditioning > Total"
"PRENEL" "Production > Energy > Electricity"
"PRENEL01" "Production > Energy > Electricity > Total"
"PRENTO" "Production > Energy > Total energy"
"PRENTO01" "Production > Energy > Total energy > Total"
"PRIN" "Production > Industry"
"PRINTO" "Production > Industry > Total industry"
"PRINTO01" "Production > Industry > Total industry > Total industry excluding construction"
"PRINTO02" "Production > Industry > Total industry > Total industry including construction"
"PRMI" "Production > Mining"
"PRMITO" "Production > Mining > Total mining"
"PRMITO01" "Production > Mining > Total mining > Total"
"PRMN" "Production > Manufacturing"
"PRMNCG" "Production > Manufacturing > Consumer goods"
"PRMNCG01" "Production > Manufacturing > Consumer goods > Total"
"PRMNCG02" "Production > Manufacturing > Consumer goods > Durable goods"
"PRMNCG03" "Production > Manufacturing > Consumer goods > Non durable goods"
"PRMNIG" "Production > Manufacturing > Intermediate goods"
"PRMNIG01" "Production > Manufacturing > Intermediate goods > Total"
"PRMNTO" "Production > Manufacturing > Total manufacturing"
"PRMNTO01" "Production > Manufacturing > Total manufacturing > Total manufacturing"
"PRMNVG" "Production > Manufacturing > Investment goods"
"PRMNVG01" "Production > Manufacturing > Investment goods > Total"
"PW" "Price Weights"
"PWCP" "Price Weights > Consumer Prices"
"PWCP00" "Price Weights > Consumer Prices > All items"
"PWCP0000" "Price Weights > Consumer Prices > All items > Total"
"PWCP01" "Price Weights > Consumer Prices > Food and non-alcoholic beverages"
"PWCP0100" "Price Weights > Consumer Prices > Food and non-alcoholic beverages > Total"
"PWCP0110" "Price Weights > Consumer Prices > Food and non-alcoholic beverages > Food"
"PWCP0111" "Price Weights > Consumer Prices > Food and non-alcoholic beverages > Bread and cereals"
"PWCP0112" "Price Weights > Consumer Prices > Food and non-alcoholic beverages > Meat"
"PWCP0113" "Price Weights > Consumer Prices > Food and non-alcoholic beverages > Fish and seafood"
"PWCP0114" "Price Weights > Consumer Prices > Food and non-alcoholic beverages > Milk, cheese and eggs"
"PWCP0115" "Price Weights > Consumer Prices > Food and non-alcoholic beverages > Oils and fats"
"PWCP0116" "Price Weights > Consumer Prices > Food and non-alcoholic beverages > Fruit"
"PWCP0117" "Price Weights > Consumer Prices > Food and non-alcoholic beverages > Vegetables"
"PWCP0118" "Price Weights > Consumer Prices > Food and non-alcoholic beverages > Sugar, jam, honey, chocolate and confectionery"
"PWCP0119" "Price Weights > Consumer Prices > Food and non-alcoholic beverages > Food products n.e.c."
"PWCP0120" "Price Weights > Consumer Prices > Food and non-alcoholic beverages > Non-alcoholic beverages"
"PWCP02" "Price Weights > Consumer Prices > Alcoholic beverages, Tobacco and Narcotics"
"PWCP0200" "Price Weights > Consumer Prices > Alcoholic beverages, Tobacco and Narcotics > Total"
"PWCP0210" "Price Weights > Consumer Prices > Alcoholic beverages, Tobacco and Narcotics > Alcoholic beverages"
"PWCP0220" "Price Weights > Consumer Prices > Alcoholic beverages, Tobacco and Narcotics > Tobacco"
"PWCP03" "Price Weights > Consumer Prices > Clothing and Footwear"
"PWCP0300" "Price Weights > Consumer Prices > Clothing and Footwear > Total"
"PWCP04" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels"
"PWCP0400" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels > Total"
"PWCP0410" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels > Actual Rentals for Housing"
"PWCP0420" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels > Imputed Rentals for Housing"
"PWCP0430" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels > Maintenance and Repair of the Dwelling"
"PWCP0431" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels > Materials for the maintenance and repair of the dwelling"
"PWCP0432" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels > Services for the maintenance and repair of the dwelling"
"PWCP0440" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels > Water Supply and Miscellaneous Services relating to the Dwelling"
"PWCP0441" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels > Water supply"
"PWCP044G" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels > Miscellaneous services relating to the dwelling (04.4.2_3_4)"
"PWCP0450" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels > Electricity, gas and other fuels"
"PWCP0451" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels > Electricity"
"PWCP0452" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels > Gas"
"PWCP0453" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels > Liquid fuels"
"PWCP0454" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels > Solid fuels"
"PWCP0455" "Price Weights > Consumer Prices > Housing, Water, Electricity, Gas and other Fuels > Heat energy"
"PWCP05" "Price Weights > Consumer Prices > Furnishing, Household equipment and routine maintenance"
"PWCP0500" "Price Weights > Consumer Prices > Furnishing, Household equipment and routine maintenance > Total"
"PWCP0510" "Price Weights > Consumer Prices > Furnishing, Household equipment and routine maintenance > Furniture and furnishings, carpets and other floor coverings"
"PWCP0520" "Price Weights > Consumer Prices > Furnishing, Household equipment and routine maintenance > Household textiles"
"PWCP0530" "Price Weights > Consumer Prices > Furnishing, Household equipment and routine maintenance > Household appliances"
"PWCP0540" "Price Weights > Consumer Prices > Furnishing, Household equipment and routine maintenance > Glassware, tableware and household utensils"
"PWCP0550" "Price Weights > Consumer Prices > Furnishing, Household equipment and routine maintenance > Tools and equipment for house and garden"
"PWCP0560" "Price Weights > Consumer Prices > Furnishing, Household equipment and routine maintenance > Goods and services for routine household maintenance"
"PWCP06" "Price Weights > Consumer Prices > Health"
"PWCP0600" "Price Weights > Consumer Prices > Health > Total"
"PWCP0610" "Price Weights > Consumer Prices > Health > Medical products, appliances and equipment"
"PWCP0620" "Price Weights > Consumer Prices > Health > Out-patient services"
"PWCP0630" "Price Weights > Consumer Prices > Health > Hospital services"
"PWCP07" "Price Weights > Consumer Prices > Transport"
"PWCP0700" "Price Weights > Consumer Prices > Transport > Total"
"PWCP0710" "Price Weights > Consumer Prices > Transport > Purchase of vehicles"
"PWCP0720" "Price Weights > Consumer Prices > Transport > Operation of personal transport equipment"
"PWCP0721" "Price Weights > Consumer Prices > Transport > Spare parts and accessories for personal transport equipment"
"PWCP0722" "Price Weights > Consumer Prices > Transport > Fuels and lubricants for personal transport equipment"
"PWCP0723" "Price Weights > Consumer Prices > Transport > Maintenance and repair of personal transport equipment"
"PWCP0724" "Price Weights > Consumer Prices > Transport > Other services in respect of personal transport equipment"
"PWCP0730" "Price Weights > Consumer Prices > Transport > Transport services"
"PWCP08" "Price Weights > Consumer Prices > Communication"
"PWCP0800" "Price Weights > Consumer Prices > Communication > Total"
"PWCP0810" "Price Weights > Consumer Prices > Communication > Postal services"
"PWCP082G" "Price Weights > Consumer Prices > Communication > Telephone and telefax equipment and services (08.2_3)"
"PWCP09" "Price Weights > Consumer Prices > Recreation and culture"
"PWCP0900" "Price Weights > Consumer Prices > Recreation and culture > Total"
